initial  value 4.554392 
iter 125 value 1.865315
iter 126 value 1.865314
iter 127 value 1.865313
iter 128 value 1.865312
iter 129 value 1.865312
iter 130 value 1.865311
iter 131 value 1.865311
iter 132 value 1.865311
iter 133 value 1.865311
iter 134 value 1.865311
iter 135 value 1.865310
iter 136 value 1.865310
iter 137 value 1.865310
iter 138 value 1.865310
iter 139 value 1.865309
iter 140 value 1.865309
iter 141 value 1.865309
iter 142 value 1.865309
iter 143 value 1.865309
iter 144 value 1.865309
iter 145 value 1.865309
iter 146 value 1.865308
iter 147 value 1.865308
iter 148 value 1.865308
iter 149 value 1.865308
iter 150 value 1.865308
iter 151 value 1.865308
iter 152 value 1.865308
iter 153 value 1.865308
iter 153 value 1.865308
iter 153 value 1.865308
final  value 1.865308 
converged
Used 155 function and 153 gradient evaluations
